Sample pc1 pc2 pc3 pc4 pc5 pc6 pc7 pc8 pc9 pc10 pc11 pc12 pc13 pc14 pc15 pc16 pc17 pc18 pc19 pc20 Population Population.2
HG00108 68.0512 104.248 -22.9005 36.9991 -1.44743 11.3917 1.6533 -0.304343 -4.31058 -20.7101 0.0501987 -8.13799 -1.20855 2.51232 -2.30976 1.14828 5.56149 11.4499 -5.06196 6.16941 GBR EUR
HG00109 67.7183 103.766 -23.42 39.8062 -2.42211 7.53309 1.8641 1.98053 -4.69926 -10.4136 -0.228774 -20.5101 -3.19559 -9.80725 -6.3276 3.37665 -9.26803 11.5106 -1.07414 2.81843 GBR EUR
HG00110 68.4993 104.044 -23.4519 36.8724 -0.217315 13.6419 1.39812 -0.0701949 -6.64551 -21.6149 0.27425 -11.2806 -0.309224 -7.37837 -2.51686 0.0433485 -0.199984 6.65713 -1.67326 10.7683 GBR EUR
HG00111 68.984 102.714 -22.0077 32.7838 0.291728 11.54 -0.739761 0.111308 -1.30708 1.44294 4.11675 -19.8666 1.18789 -12.6969 -1.83237 0.207527 -8.82606 10.0076 -6.43394 12.7845 GBR EUR
HG00112 70.129 103.796 -21.1662 35.2875 1.7849 10.898 1.07132 0.283334 0.940074 2.34055 -3.00167 -25.7613 2.3284 -15.0125 -1.73479 -6.95747 -7.28412 9.45345 -8.21218 11.0851 GBR EUR
HG00113 67.4975 103.392 -23.5597 36.1756 -0.707962 9.029 0.543796 2.67306 -2.17852 -11.3577 -1.29584 -14.3368 -0.28314 -11.115 2.6591 -0.153159 -7.08574 9.91022 -1.97289 11.8354 GBR EUR
HG00114 67.4925 102.77 -22.3343 35.8831 2.67625 7.92661 -0.981769 2.35192 2.33655 2.40909 3.03372 -28.472 7.4318 -13.8846 -3.22418 -3.46266 -3.92927 9.08593 -1.93832 5.33528 GBR EUR
HG00115 66.8098 104.038 -21.2711 37.5418 -0.764278 6.48081 1.3085 -2.31089 -4.00864 -19.8122 -4.20972 -8.40631 -3.73718 -4.45256 -3.41056 7.06816 -1.40469 6.52507 3.67225 8.28099 GBR EUR
HG00116 68.8332 104.255 -23.5811 37.9596 0.049818 9.5772 1.10877 1.83414 -3.65376 3.53615 1.02167 -28.3644 4.04494 -11.2508 -7.78616 2.50149 -9.7238 10.9522 -0.626124 9.17975 GBR EUR
HG00117 69.0687 103.898 -23.618 34.9854 1.78718 11.194 -0.879401 -1.47016 -1.03598 -26.4437 0.884723 -11.6885 -7.75951 -8.49312 -1.11821 3.32047 -9.19198 8.41249 -1.47392 12.4548 GBR EUR
HG00118 67.4534 104.57 -23.0398 32.1468 -0.656251 10.1363 1.91947 2.24447 0.895453 -12.9133 1.74589 -16.9727 -7.10132 -8.31056 -2.77898 3.73301 -0.841367 10.0444 -3.42979 7.10563 GBR EUR
HG00119 69.6894 102.86 -23.9811 37.4637 0.548215 11.3415 0.54787 0.742322 -3.269 -14.122 6.26756 -12.722 -8.80849 -14.5094 -1.25695 3.69727 -9.57218 14.4382 0.216726 7.87108 GBR EUR
HG00120 68.859 105.244 -23.4653 37.7264 1.50524 10.3419 -0.243314 3.74448 -3.36383 0.218017 6.62487 -28.6979 1.01015 -16.1613 -8.56663 1.52766 -12.2536 13.0472 -2.27933 17.0881 GBR EUR
HG00121 68.2723 104.253 -20.9803 35.0956 3.40194 13.6204 0.516815 2.11487 1.47368 5.70229 2.04305 -17.0777 0.424246 -11.0121 -1.55683 3.14789 -5.67829 6.33042 -3.1427 7.61972 GBR EUR
HG00122 68.8568 101.743 -24.2628 34.7098 1.74546 9.29178 0.760045 0.408679 -7.22892 -12.44 0.150124 -12.0338 -4.27937 -12.6709 -4.76003 -1.85947 -1.51368 9.8256 -7.70555 11.9652 GBR EUR
HG00123 65.8374 104.053 -20.8932 35.8186 2.63785 8.79388 2.52232 -4.28322 -7.41121 -16.0537 1.72309 -14.2748 2.24223 -10.2464 -1.82082 0.743427 -8.77881 8.90695 -3.83238 17.0515 GBR EUR
HG00125 66.4934 103.058 -24.3071 36.8424 -0.306695 14.944 2.99095 -2.49827 -3.63535 -27.3414 -5.84399 -3.56593 3.57166 -8.11897 -1.32619 0.756206 -6.30585 6.26246 -4.80516 20.534 GBR EUR
HG00126 66.928 106.279 -22.5409 37.7863 2.08636 5.09756 0.453168 -0.208973 -1.49211 -8.88397 -8.1669 -10.5011 3.89688 -10.3044 -4.46772 2.89147 5.0359 9.42636 -1.12999 4.02335 GBR EUR
HG00127 69.1879 104.348 -21.8979 36.4262 -0.575331 4.51625 -1.53522 2.66126 -0.837895 0.73814 -1.81631 -17.7187 1.58361 -8.50758 -4.84192 5.22971 -8.51355 9.69544 -3.77813 9.95358 GBR EUR
HG00128 66.2061 106.312 -22.0528 36.5094 0.235247 7.76346 1.6127 1.4782 -4.17976 7.87355 3.58501 -25.4721 -2.91159 -7.92048 -10.4839 -1.40825 -0.776034 3.29269 -5.61091 -3.31822 GBR EUR
HG00129 68.574 105.359 -23.5565 35.5011 5.45377 11.3438 0.88272 0.161034 -4.92995 -30.7303 -1.02888 -2.31485 -9.33902 0.244852 1.74653 5.22915 4.91639 7.6287 -6.1205 5.44858 GBR EUR
HG00130 66.6149 103.536 -20.1569 40.1211 1.21463 3.01766 1.14752 2.73534 2.52429 -15.6607 1.57561 -10.007 -8.87091 -3.78673 6.46552 0.633702 0.269943 8.87643 2.83458 11.0308 GBR EUR
HG00131 66.8387 102.481 -22.9112 36.8532 -1.74837 7.33949 0.131967 0.930936 -4.45214 6.00853 -0.15698 -20.2738 -0.00274356 -3.92526 -8.92074 -2.61313 -2.72762 3.13377 -4.51323 4.37189 GBR EUR
HG00132 65.8052 105.433 -22.7721 40.0967 0.683955 5.73509 -0.374142 2.32462 -2.93812 -8.74592 2.37059 -9.75423 -2.35582 -17.6818 -4.48965 3.60376 -3.65067 10.546 -6.33985 14.1752 GBR EUR
HG00133 67.9363 104.733 -20.452 35.7659 0.154358 4.95243 -1.44353 2.89464 -1.31774 -5.78687 -1.5958 -18.5298 -0.0362642 -8.78036 -2.57275 -0.648407 -6.7478 4.74608 -3.09534 9.11605 GBR EUR
HG00136 67.8396 101.69 -22.6455 37.4656 1.49882 11.1586 1.55845 1.23776 2.46105 4.49831 1.8723 -15.0985 7.9369 -7.96085 -9.03083 1.39104 -4.887 -2.77799 -1.54824 10.1977 GBR EUR
HG00137 67.9917 105.719 -21.8766 37.7156 0.0247429 6.26614 2.36635 -0.352855 -4.03297 -14.3837 -0.0569119 -10.1005 -3.91557 -10.8049 -6.07363 -0.33498 3.78773 5.63878 5.78699 8.09388 GBR EUR
HG00138 67.5463 105.608 -21.5455 37.0767 -0.644062 7.80414 2.4757 0.359965 -4.02482 -6.53462 1.54092 -7.72756 -5.27214 -4.12494 -3.02139 2.2989 2.64311 1.46894 1.26091 2.21589 GBR EUR
HG00139 66.3054 107.259 -23.3437 37.9865 2.89532 7.02946 -1.18752 -2.89725 -4.79669 -18.0457 -2.94761 -4.69295 -5.71027 -1.48427 -0.469581 -0.679458 0.0752577 4.78198 -4.46599 6.85269 GBR EUR
HG00140 68.3819 102.889 -23.441 36.3658 1.62003 8.15362 -0.9195 1.19724 -2.80537 -11.4673 3.39722 -14.0432 -5.2531 -11.488 -2.53399 -1.51286 -2.37849 4.53584 2.66599 4.46826 GBR EUR
HG00141 68.2317 105.731 -23.0345 34.7553 0.904078 9.99838 -1.5346 -0.371657 -2.74648 -4.16284 -0.694298 -11.9068 -2.51605 -9.12575 -3.66111 3.62351 0.676052 -0.467144 -0.702803 6.47415 GBR EUR
HG00142 65.5819 104.022 -21.3546 38.6286 1.43587 9.47823 -0.537911 -1.42658 -0.460755 6.27265 1.02332 -19.5221 4.70624 -10.0007 -3.99847 3.22487 -0.896264 7.4589 -5.85478 4.89322 GBR EUR
HG00143 67.4255 105.071 -23.4158 35.1427 1.82797 5.07455 -0.117915 1.66935 -4.97761 9.3691 -1.95118 -20.2441 3.24656 -6.25855 -5.76731 2.43803 -1.45413 2.66023 1.15891 -1.02718 GBR EUR
HG00145 67.9049 103.456 -21.0721 35.0259 -1.21334 6.04589 2.40579 0.590922 -3.40426 -12.8174 3.41696 -12.7572 6.19921 -6.35603 -3.12486 2.13515 -4.64865 -2.43263 1.49965 1.73533 GBR EUR
HG00146 68.8658 103.891 -23.4531 37.6895 -1.18517 8.02622 2.63125 1.56114 -2.72258 -2.41944 1.69712 -15.7601 -6.61773 -8.23509 3.51788 3.0231 3.2637 2.09638 -0.117734 8.1016 GBR EUR
HG00148 68.3946 104.864 -22.8167 38.4397 0.256141 8.71254 -0.125609 2.45325 2.26391 -8.08766 -1.82355 -20.5372 -6.05376 -9.40318 -4.8613 1.8292 -0.817805 7.4393 -3.59762 10.0653 GBR EUR
HG00149 66.3365 104.836 -24.2574 38.3534 -1.62544 10.569 -0.913282 0.391057 -6.17905 -7.29538 -3.89502 -15.0737 -5.30872 -6.53552 -5.19692 3.0657 -0.401332 5.69945 0.675096 6.34809 GBR EUR
HG00150 67.329 103.955 -23.3007 33.76 -0.501215 10.635 2.08766 3.14889 -3.94435 -24.4957 -1.53069 -9.33946 -0.906908 -3.51609 0.744555 -1.80822 1.14776 -3.78633 -4.25002 9.24503 GBR EUR
HG00151 67.6131 102.97 -22.327 33.9808 0.76228 11.0402 0.649988 -2.86827 -5.01178 -25.4097 1.29005 -4.09301 -2.53159 -7.11394 1.93451 3.56407 -1.6992 -0.274709 3.57675 3.35554 GBR EUR
HG00154 68.3055 108.065 -22.8272 36.892 1.82968 8.31425 2.23384 -2.79448 -7.02157 -10.688 0.747957 -6.05048 -2.75285 -1.68979 3.10596 1.58221 0.136776 -0.391163 -6.9611 -2.02656 GBR EUR
HG00155 68.925 103.328 -25.5746 35.2214 -0.884286 10.1746 -0.509232 1.91955 -3.37238 -4.55408 6.20522 -12.419 -1.63219 -6.77353 -2.33527 2.12613 -4.66772 4.59444 -3.87629 8.92027 GBR EUR
HG00157 66.7809 103.396 -26.3673 36.8951 0.207156 11.294 1.3125 3.35749 -0.700387 4.19419 -0.22687 -14.7089 3.77789 -6.81672 -0.534679 -2.67407 -8.09907 9.58931 -2.70289 12.6301 GBR EUR
HG00158 67.8327 99.9857 -25.895 33.9536 -0.274141 6.86978 -1.04934 1.61605 -2.77521 7.40063 -0.568417 -22.3747 7.7968 -12.6249 -6.26162 4.81686 -6.11809 0.438857 -3.93262 3.70447 GBR EUR
HG00159 66.3192 104.791 -24.4445 37.1489 -1.4163 7.10581 -0.739314 1.54217 -1.46504 4.83784 -4.21115 -25.3552 2.01368 -11.1731 -2.66554 -0.242026 -6.76093 6.66702 0.925992 11.1681 GBR EUR
HG00160 67.31 103.431 -23.3792 35.2906 1.41153 7.6475 0.869763 1.51942 -2.59958 5.06709 3.70237 -17.0627 4.52994 -7.80329 -5.50378 -0.0957167 -9.52934 8.98555 0.238239 13.115 GBR EUR
HG00171 76.0469 85.9807 -26.6241 32.5674 16.6526 68.639 1.58231 -7.93732 1.57519 23.3396 5.6915 9.91232 2.44832 5.71858 0.0426757 0.375072 1.93159 -8.10572 -2.75847 -6.25951 FIN FIN
HG00173 74.279 88.2989 -26.4889 31.411 16.0124 63.5442 4.66737 -8.76412 0.551158 6.3665 -4.71908 19.7318 -5.89214 3.68659 7.05379 -1.22887 3.03404 -9.15107 -0.357193 -11.3031 FIN FIN
HG00174 71.3226 93.4054 -29.342 34.1539 12.9039 47.4875 2.86984 -4.15953 1.60591 6.01572 -0.556498 13.4044 6.45958 3.44523 -2.10209 -1.5347 7.17696 -3.30555 -2.66271 -1.6525 FIN FIN
HG00176 72.5642 87.4969 -25.9301 32.5876 14.2991 60.7939 4.88662 -8.67923 4.40289 8.54291 -3.49889 10.2133 -2.79525 6.48519 5.23608 3.7402 6.20983 -6.30568 6.01217 -8.51959 FIN FIN
HG00177 73.8694 83.6615 -25.3141 29.7695 15.2037 63.8189 5.63772 -8.81131 0.417384 8.06773 -5.07925 20.3764 -0.537292 12.1389 5.69978 1.71181 4.62665 -10.892 7.16696 -3.65893 FIN FIN
HG00178 72.4714 88.3928 -23.3191 33.0028 14.0841 56.7762 5.54978 -7.76581 2.7349 -2.02456 -2.44479 12.9303 -1.70648 0.767889 -0.918885 -2.13253 2.81124 1.13844 2.94613 1.14094 FIN FIN
HG00179 71.3247 87.2787 -24.6131 31.215 14.4684 59.7481 4.7007 -10.7463 6.13187 -3.23715 -1.29836 12.0281 -0.0402839 2.78883 -0.291346 3.08258 7.20092 -9.86165 3.11533 -4.48514 FIN FIN
HG00180 72.3615 86.589 -22.037 30.6033 11.2872 58.2559 3.27821 -8.41925 0.768009 4.03883 -0.764557 11.7786 6.43633 4.88094 -3.10417 -2.97089 1.28544 -6.02726 1.67842 -5.57516 FIN FIN
HG00181 66.3118 89.7777 -21.45 35.0349 11.6242 38.4943 2.13008 -4.58998 2.73001 7.09337 -3.62976 14.7906 1.60981 4.44876 -1.04401 -2.19667 6.93474 -3.9734 5.47304 -9.32652 FIN FIN
HG00182 72.2653 85.7079 -25.2329 28.7915 13.0307 59.9072 4.84917 -8.83481 6.74615 10.0889 0.314257 12.7953 2.78945 4.03882 -0.297474 1.40433 0.794266 -2.70594 3.50947 -5.28904 FIN FIN
HG00183 72.3288 87.6519 -23.7032 31.4392 15.0737 63.6564 5.43919 -4.53286 1.90531 25.2834 -1.27072 9.1751 5.48543 1.34963 -4.90251 -3.87084 0.501961 -2.76913 5.33273 -6.06909 FIN FIN
HG00185 72.099 85.2773 -23.1514 31.7349 14.5872 67.2196 4.68017 -11.005 4.04948 -5.01502 -2.05722 19.0977 -1.26885 11.5385 2.94108 1.75174 2.66575 -10.6065 -0.331576 -8.31724 FIN FIN
HG00186 72.5121 88.0638 -22.4113 31.7656 15.4401 65.5594 3.75265 -8.79435 7.94691 6.01704 -9.76253 19.893 -9.76428 9.97813 2.0033 -0.600696 -0.176213 -11.4443 1.58051 -7.76901 FIN FIN
HG00187 70.5229 84.7966 -25.8536 32.8249 17.3668 68.4518 2.80293 -8.55835 4.16266 12.9354 2.54748 19.099 -4.76741 10.5216 4.09137 -1.11132 3.77701 -0.294734 1.1519 -9.58738 FIN FIN
HG00188 71.6017 88.682 -22.7731 31.8516 16.2924 54.8464 3.07774 -8.53479 5.35158 22.4348 -4.14567 9.52195 4.01027 7.28037 4.47669 -3.29844 -3.72448 -7.98084 5.96081 -12.4666 FIN FIN
HG00189 74.1701 87.2015 -25.3906 34.3907 11.2087 53.3786 3.86341 -4.99944 2.90304 15.5156 2.4134 8.04402 -1.21791 4.6707 1.23872 -0.812523 5.30373 -3.83063 5.89104 -7.25531 FIN FIN
HG00190 70.616 92.3219 -22.3734 33.3942 8.80744 49.6695 3.15906 -5.5467 0.878976 19.3998 -4.34977 4.27985 5.31794 -0.573138 6.55597 -1.95411 0.786586 0.0163777 -0.167559 -6.19144 FIN FIN
HG00231 67.7691 102.016 -24.8532 34.3373 -0.214317 6.04389 2.21186 0.954263 -2.36875 2.93717 1.94693 -20.8449 2.51815 -9.97577 -2.56495 -0.80655 -6.48576 9.26171 -1.27041 8.85041 GBR EUR
HG00232 68.1194 107.025 -20.5615 34.2032 1.67213 7.54169 -0.138496 -0.880309 -7.34347 -14.6963 -1.99792 -13.2282 -6.5034 -7.69536 3.96703 0.523819 0.600325 2.20063 3.40867 4.77671 GBR EUR
HG00233 65.1837 105 -21.8244 38.0077 0.474536 6.02479 1.38297 -0.571092 -0.681704 -11.3306 0.537979 -11.957 -5.5382 -1.05534 1.71102 1.82605 0.3506 2.09259 -7.91659 13.1865 GBR EUR
HG00234 67.4499 105.397 -22.997 36.1158 0.734715 3.31198 -0.453849 1.91348 1.07375 0.587666 -2.07953 -22.3929 -0.366879 -10.4791 -0.329217 0.668074 0.540363 9.04735 -3.64922 7.78691 GBR EUR
HG00235 66.8348 105.062 -21.8229 36.5423 -0.592315 7.67332 1.0542 0.0908977 -3.58437 -15.4488 -4.18398 -12.3253 -9.69312 -14.0266 -0.230629 4.3269 -1.85542 5.85367 -1.35277 13.0849 GBR EUR
HG00236 64.3216 105.337 -21.9117 36.5152 1.40832 7.09132 2.47859 2.02857 -2.89678 -15.5858 4.00345 -17.1627 0.239677 -6.11318 -2.03445 3.85872 -3.35482 7.43518 0.587099 9.84596 GBR EUR
HG00237 66.1093 105.321 -20.1314 37.5277 0.795148 10.6232 1.00178 0.484795 -0.629061 -6.1187 -0.278779 -11.1457 1.29857 -3.51181 3.44053 -0.726256 1.90635 -0.35006 -4.28441 10.4253 GBR EUR
HG00238 68.0005 101.956 -21.6429 35.4273 -2.25832 7.21517 -0.988002 -0.931533 -4.51673 -16.7296 -0.983595 -14.8778 -10.8753 -13.186 -3.72782 7.79866 -11.3982 6.25843 -0.179511 7.87523 GBR EUR
HG00239 65.2626 107.016 -24.816 38.1915 1.54822 6.78837 0.488165 1.24666 -0.947491 8.91205 0.836226 -20.0634 2.4471 -7.95634 -7.27253 3.80266 -1.19058 3.99857 2.30896 8.4898 GBR EUR
HG00240 68.858 105.614 -22.9502 35.6513 -0.749376 5.58731 -3.70745 0.613975 -5.79092 -9.86068 -4.46251 -20.1474 -5.72432 -13.4348 -6.20629 2.12569 -10.101 8.92805 -0.774372 5.84619 GBR EUR
HG00242 65.8244 104.864 -23.6835 36.0407 0.772228 6.20012 4.04538 -3.40604 -2.2148 -24.4997 0.392363 -3.79308 -6.50901 -6.44599 1.15569 3.92386 -1.17665 2.68739 -1.71584 3.98427 GBR EUR
HG00243 67.6158 105.179 -22.7623 34.0724 0.938338 5.71169 -0.610271 1.32596 -2.97742 -4.35735 4.1695 -10.0951 -0.585722 -7.82797 -5.41578 -1.22023 -0.320613 10.0463 -2.31619 8.3974 GBR EUR
HG00244 66.2988 104.571 -21.1541 36.1666 -1.03294 4.29354 0.0862763 2.61574 -1.01106 -3.70089 0.760526 -12.0009 -2.67514 -8.06183 -4.59858 2.21933 -0.318614 4.22753 0.947905 8.34684 GBR EUR
HG00245 64.7499 104.26 -22.2189 37.5087 0.740451 7.07982 0.960678 -3.57258 -1.22622 -20.5928 3.42007 -4.11863 -4.48785 -2.25487 0.996215 1.3486 -2.91974 6.90876 -2.15709 8.17724 GBR EUR
HG00246 67.2089 103.72 -20.8248 35.1012 -4.56772 7.67651 0.0219775 -0.110908 -1.81196 -8.01322 -1.99524 -8.34643 -0.756214 -8.45544 -3.57436 -0.537882 -5.70499 -1.99017 -0.456208 10.0922 GBR EUR
HG00250 68.9632 103.822 -22.8291 35.6527 0.235195 6.68937 1.99181 0.561993 -3.58818 -9.21308 1.72911 -17.3989 -1.1371 -9.97163 -7.32888 -0.682531 2.02563 2.87057 0.669611 9.45935 GBR EUR
HG00251 69.0027 104.592 -22.348 33.5981 -0.442807 2.35445 1.23579 0.580173 -2.53935 -8.78281 5.18376 -14.9012 7.03041 -10.472 -0.741518 3.354 1.44355 6.76177 1.15867 5.67392 GBR EUR
HG00252 69.1111 102.872 -23.3564 37.7501 -0.171211 8.32545 -3.05066 0.703482 0.104654 5.7909 -1.59508 -10.7601 -0.73451 -9.84645 -7.6791 -2.40835 -4.85181 11.8876 -2.51513 5.91382 GBR EUR
HG00253 66.2793 106.062 -22.3776 39.7293 2.35865 5.78643 0.390175 2.79613 -3.86556 -18.9179 -0.9604 -15.0239 -1.31779 -11.2492 -1.54541 8.04891 2.601 10.2451 -2.42541 12.2675 GBR EUR
HG00254 64.6451 102.129 -23.1856 35.5468 -2.45396 6.23828 -1.08295 0.688699 -1.59786 -4.69842 1.24906 -20.3 0.328889 -12.8465 3.92352 -0.329188 -6.75546 4.3467 0.191174 2.58821 GBR EUR
HG00255 65.7974 104.916 -23.091 35.7932 -2.95572 8.90398 0.791209 -1.11232 -2.28019 -12.4376 1.30247 -14.9402 -2.50603 -3.51493 -2.88589 0.940491 -6.38007 7.63785 -3.43581 7.30637 GBR EUR
HG00256 69.0441 104.576 -22.3428 36.8022 2.05909 6.81052 -3.43181 -0.741148 2.42837 -11.1367 7.21636 -10.7754 -2.76707 -2.24971 -1.41566 3.04541 -4.15156 2.276 -2.9913 6.18467 GBR EUR
HG00257 66.013 103.611 -22.0273 36.4378 0.571441 6.86887 -0.26719 -2.64893 -3.11409 -15.3982 1.8825 -6.90486 -4.76545 -5.27139 -3.63311 4.47349 -4.44022 5.03783 -1.77518 9.25174 GBR EUR
HG00258 67.8877 104.758 -23.9267 37.834 1.05353 6.01794 2.20969 1.19744 -2.0341 6.99439 4.82345 -15.4713 -2.57516 -7.43194 -3.56658 0.245228 -0.686119 6.01966 -3.82287 8.60416 GBR EUR
HG00259 66.2827 105.733 -21.7347 36.7317 0.332356 5.98096 2.84497 1.39959 -5.49191 -19.2745 1.01835 -13.3983 -9.47512 -2.59716 0.539393 -1.90545 -1.81799 3.39188 -5.0957 8.95323 GBR EUR
HG00260 67.7455 104.965 -25.6551 37.5341 0.0204158 11.1412 0.580158 -2.74871 -1.43653 -11.542 -3.27933 -6.5278 -0.145888 -2.5699 -1.69456 2.93612 -4.48037 3.4975 -5.73613 11.597 GBR EUR
HG00261 68.0013 101.773 -22.6445 39.5035 -2.56095 2.3217 0.0722625 -1.22614 -4.80757 -23.9976 -4.45063 -9.83223 1.41608 -7.83795 1.64748 4.81252 -1.2247 8.99255 1.30781 6.38159 GBR EUR
HG00262 69.6491 104.633 -22.4996 34.6785 -1.16004 9.56358 2.75343 1.3393 -6.61617 -14.1985 -3.02519 -9.90137 -6.17015 -7.54062 -8.75724 1.02737 -2.66489 6.36059 -1.00145 12.4568 GBR EUR
HG00263 68.5089 105.7 -21.0304 36.6486 0.00599064 4.4328 -0.648533 0.75185 -0.387834 -11.3246 2.37679 -12.0335 1.19527 -11.3788 -5.88434 -2.00153 0.790765 5.12957 -0.404267 10.3884 GBR EUR
HG00264 66.1047 103.178 -25.321 35.6624 0.580245 7.1983 0.152444 -0.0187012 0.18991 -26.0388 -3.84214 -12.3601 -9.66181 -4.42315 -4.49397 2.55022 -7.49759 2.12017 -2.49612 10.802 GBR EUR
HG00265 67.7121 107.816 -23.3321 37.9573 -0.547659 8.10105 1.22041 3.92124 -7.06743 -7.78716 4.03569 -18.0414 -0.487891 -14.9822 -4.28654 0.305472 -1.263 13.2382 3.73969 8.6822 GBR EUR
HG00266 71.0112 87.5317 -24.765 34.7537 14.0166 57.7097 4.01942 -10.8919 3.77874 23.8576 8.2838 8.4256 9.66897 6.83404 0.480906 -4.47738 3.81445 -2.60713 1.89117 -15.0495 FIN FIN
HG00267 71.9075 86.4028 -23.1571 33.9171 14.8328 65.1702 3.61615 -9.51657 5.42474 21.7715 4.56566 5.00568 -0.595883 5.44338 -0.85195 -2.79575 0.460508 -4.05646 2.82918 -5.83238 FIN FIN
HG00268 70.0722 92.83 -24.0614 34.3778 7.29539 56.8794 3.91552 -8.14675 1.23432 -4.03128 1.32329 6.62793 -0.351943 1.47823 -0.200218 -1.70828 4.35494 3.01883 5.44494 -3.7252 FIN FIN
HG00269 71.1429 88.3865 -23.7684 29.4878 14.5081 72.4435 5.01193 -7.10491 4.9055 30.7079 0.295568 18.0807 2.24877 11.1966 7.34016 -2.59851 -0.819149 -10.0019 2.09283 -7.34363 FIN FIN
HG00271 71.7539 82.5578 -24.0884 33.5604 16.6051 76.9663 8.4697 -7.53616 10.3672 13.3157 -0.283215 19.0118 3.12493 9.73529 9.21657 -1.31301 4.71131 -5.38331 6.89009 -9.44272 FIN FIN
HG00272 71.3064 82.3419 -21.0535 30.1432 13.9443 68.1533 4.56693 -8.27588 8.29848 26.3768 1.50884 14.7878 5.75712 4.03061 0.524073 0.871663 2.35124 -5.83857 0.793308 -15.7593 FIN FIN
HG00273 71.4246 89.5084 -23.9005 33.4991 13.9069 52.993 3.08537 -5.54517 5.54242 8.01127 0.881447 6.84623 4.10064 1.97645 1.42067 -1.1775 6.26852 1.11061 0.122132 0.0412583 FIN FIN
HG00274 73.1436 91.9637 -26.4776 33.9422 12.1799 58.1527 4.07169 -6.11572 2.55536 10.3527 -3.90517 12.2068 1.36288 4.20973 3.17154 -1.94017 5.71093 -2.9332 5.48346 -3.79744 FIN FIN
HG00275 70.3119 90.9371 -24.5683 36.5541 9.49143 50.9984 1.79992 -4.81106 10.0861 21.5614 0.779439 2.17614 0.410782 1.47652 -3.68677 -1.76427 -1.59048 -0.475479 -0.945565 -6.84455 FIN FIN
HG00276 71.0443 87.9403 -26.4504 29.8258 15.412 65.5787 3.68205 -9.31475 10.179 21.2589 7.64724 5.53546 8.62299 7.31074 -0.944353 -2.17113 1.09238 -4.92063 0.263146 -3.51791 FIN FIN
HG00277 72.3519 92.5971 -24.0722 32.3729 9.67843 45.0162 2.41422 -3.97708 2.85545 12.3037 -2.3981 2.35674 -1.72703 0.638184 3.8046 1.21868 10.2229 2.244 2.38873 -1.10082 FIN FIN
HG00278 72.1568 90.2868 -23.2614 30.1605 13.0091 64.2713 7.09864 -6.96554 10.9414 28.3141 -2.41263 13.7497 -0.697422 3.1966 0.366162 -3.03573 0.531205 1.93847 -1.39292 -5.0391 FIN FIN
